quarter,processing,transaction,time,value
Whole year,"32 Coal, Coke And Briquettes",export,2019,NA
Whole year,"33 Petroleum, Petroleum Products And Related Materials",import,2019,862757668
Whole year,"33 Petroleum, Petroleum Products And Related Materials",export,2019,3862
Whole year,"34 Gas, Natural And Manufactured",import,2019,3375893
Whole year,"34 Gas, Natural And Manufactured",export,2019,NA
Whole year,35 Electric Current,import,2019,NA
Whole year,35 Electric Current,export,2019,NA
Whole year,"41-43 Animal or vegetable fats and oils, total",import,2019,5421971
Whole year,"41-43 Animal or vegetable fats and oils, total",export,2019,300
Whole year,41 Animal Oils And Fats,import,2019,118067
Whole year,41 Animal Oils And Fats,export,2019,NA
Whole year,"42 Fixed Vegetable Fats And Oils, Crude, Refined Or Fractionated",import,2019,3700348
Whole year,"42 Fixed Vegetable Fats And Oils, Crude, Refined Or Fractionated",export,2019,NA
Whole year,"43 Animal Or Vegetable Fats And Oils Processed, Waxes And Inedible Mixtures Or Preparations Of Animal",import,2019,1603556
Whole year,"43 Animal Or Vegetable Fats And Oils Processed, Waxes And Inedible Mixtures Or Preparations Of Animal",export,2019,300
Whole year,"51-59 Chemicals and chemical products, total",import,2019,278277746
Whole year,"51-59 Chemicals and chemical products, total",export,2019,196519
Whole year,51 Organic Chemicals,import,2019,1767407
Whole year,51 Organic Chemicals,export,2019,NA
Whole year,52 Inorganic Chemicals,import,2019,4592036
Whole year,52 Inorganic Chemicals,export,2019,1500
Whole year,"53 Dyeing, Tanning And Coloring Materials",import,2019,28094719
Whole year,"53 Dyeing, Tanning And Coloring Materials",export,2019,18600
Whole year,54 Medicinal And Pharmaceutical Products,import,2019,104239571
Whole year,54 Medicinal And Pharmaceutical Products,export,2019,39850
Whole year,"55 Essential Oils And Resinoids And Perfume Materials, Toilet, Polishing And Cleansing Preparations",import,2019,66936882
Whole year,"55 Essential Oils And Resinoids And Perfume Materials, Toilet, Polishing And Cleansing Preparations",export,2019,5621
Whole year,"56 Fertilizers (Exports Include Group 272, Imports Exclude Group 272)",import,2019,4137161
Whole year,"56 Fertilizers (Exports Include Group 272, Imports Exclude Group 272)",export,2019,NA
Whole year,57 Plastics In Primary Forms,import,2019,5533860
Whole year,57 Plastics In Primary Forms,export,2019,119250
Whole year,58 Plastics In Nonprimary Forms,import,2019,31591851
Whole year,58 Plastics In Nonprimary Forms,export,2019,11085
Whole year,"59 Chemical Materials And Products, N.E.S.",import,2019,31384259
Whole year,"59 Chemical Materials And Products, N.E.S.",export,2019,613
Whole year,"61-69 Manufactured products mainlysemi-manufactured products, total",import,2019,704631957
Whole year,"61-69 Manufactured products mainlysemi-manufactured products, total",export,2019,5698751
Whole year,"61 Leather, Leather Manufactures, N.E.S., And Dressed Furskins",import,2019,1746632
Whole year,"61 Leather, Leather Manufactures, N.E.S., And Dressed Furskins",export,2019,2838226
Whole year,"62 Rubber Manufactures, N.E.S.",import,2019,16496619
Whole year,"62 Rubber Manufactures, N.E.S.",export,2019,4020
Whole year,63 Cork And Wood Manufactures Other Than Furniture,import,2019,72950210
Whole year,63 Cork And Wood Manufactures Other Than Furniture,export,2019,15600
Whole year,"64 Paper, Paperboard, And Articles Of Paper Pulp, Paper Or Paper Board",import,2019,76671897
Whole year,"64 Paper, Paperboard, And Articles Of Paper Pulp, Paper Or Paper Board",export,2019,3500
Whole year,"65 Textile Yarn, Fabrics, Made-Up Articles, N.E.S., And Related Products",import,2019,69421673
Whole year,"65 Textile Yarn, Fabrics, Made-Up Articles, N.E.S., And Related Products",export,2019,11945
Whole year,"66 Nonmetallic Mineral Manufactures, N.E.S.",import,2019,130514858
Whole year,"66 Nonmetallic Mineral Manufactures, N.E.S.",export,2019,2593015
Whole year,67 Iron And Steel,import,2019,85050640
Whole year,67 Iron And Steel,export,2019,7600
Whole year,68 Nonferrous Metals,import,2019,5860794
Whole year,68 Nonferrous Metals,export,2019,NA
Whole year,"69 Manufactures Of Metals, N.E.S.",import,2019,245918634
Whole year,"69 Manufactures Of Metals, N.E.S.",export,2019,224845
Whole year,"71-79 Machinery and transport equipment, total",import,2019,2856820405
Whole year,"71-79 Machinery and transport equipment, total",export,2019,315275708
Whole year,71 Power Generating Machinery And Equipment,import,2019,99178729
Whole year,71 Power Generating Machinery And Equipment,export,2019,842291
Whole year,72 Machinery Specialized For Particular Industries,import,2019,199784390
Whole year,72 Machinery Specialized For Particular Industries,export,2019,553422
Whole year,73 Metalworking Machinery,import,2019,27027646
Whole year,73 Metalworking Machinery,export,2019,1700
Whole year,"74 General Industrial Machinery And Equipment, N.E.S., And Machine Parts, N.E.S.",import,2019,169232943
Whole year,"74 General Industrial Machinery And Equipment, N.E.S., And Machine Parts, N.E.S.",export,2019,487858
Whole year,75 Office Machines And Automatic Data Processing Machines,import,2019,111859888
Whole year,75 Office Machines And Automatic Data Processing Machines,export,2019,515102
Whole year,76 Telecommunications And Sound Recording And Reproducing Apparatus And Equipment,import,2019,60639588
Whole year,76 Telecommunications And Sound Recording And Reproducing Apparatus And Equipment,export,2019,592093
Whole year,"77 Electrical Machinery, Apparatus And Appliances, N.E.S., And Electrical Parts Thereof (Including Non",import,2019,168360700
Whole year,"77 Electrical Machinery, Apparatus And Appliances, N.E.S., And Electrical Parts Thereof (Including Non",export,2019,726679
Whole year,78 Road Vehicles (Including Air-Cushion Vehicles),import,2019,226703843
Whole year,78 Road Vehicles (Including Air-Cushion Vehicles),export,2019,665137
Whole year,"79 Transport Equipment, N.E.S.",import,2019,1794032678
Whole year,"79 Transport Equipment, N.E.S.",export,2019,310891426
Whole year,"81-89 Manufactured products, total",import,2019,603183413
Whole year,"81-89 Manufactured products, total",export,2019,11719744
Whole year,"81 Prefabricated Buildings, Sanitary, Plumbing, Heating And Lighting Fixtures And Fittings, N.E.S",import,2019,39879552
Whole year,"81 Prefabricated Buildings, Sanitary, Plumbing, Heating And Lighting Fixtures And Fittings, N.E.S",export,2019,8200
Whole year,"82 Furniture And Parts Thereof, Bedding, Mattresses, Mattress Supports, Cushions And Similar Stuffed Furniture",import,2019,112937223
Whole year,"82 Furniture And Parts Thereof, Bedding, Mattresses, Mattress Supports, Cushions And Similar Stuffed Furniture",export,2019,19300
Whole year,"83 Travel Goods, Handbags And Similar Containers",import,2019,4904425
Whole year,"83 Travel Goods, Handbags And Similar Containers",export,2019,236945
Whole year,84 Articles Of Apparel And Clothing Accessories,import,2019,152658603
Whole year,84 Articles Of Apparel And Clothing Accessories,export,2019,464565
Whole year,85 Footwear,import,2019,22066847
Whole year,85 Footwear,export,2019,9240
Whole year,"87 Profssional, Scientific And Controlling Instruments And Apparatus, N.E.S.",import,2019,73294503
Whole year,"87 Profssional, Scientific And Controlling Instruments And Apparatus, N.E.S.",export,2019,4723706
Whole year,"88 Photographic Apparatus, Equipment And Supplies And Optical Goods, N.E.S., Watches And Clocks",import,2019,4783635
Whole year,"88 Photographic Apparatus, Equipment And Supplies And Optical Goods, N.E.S., Watches And Clocks",export,2019,16568
Whole year,"89 Miscellaneous Manufactured Articles, N.E.S.",import,2019,192658625
Whole year,"89 Miscellaneous Manufactured Articles, N.E.S.",export,2019,6241220
Whole year,"93-97 Miscellaneous articles and transactions, total",import,2019,131658851
Whole year,"93-97 Miscellaneous articles and transactions, total",export,2019,108924248
Whole year,93 Special Transactions And Commodities Not Classified According To Kind,import,2019,131092478
Whole year,93 Special Transactions And Commodities Not Classified According To Kind,export,2019,108924248
Whole year,"96 Coin (Other Than Gold Coin), Not Being Legal Tender",import,2019,338
Whole year,"96 Coin (Other Than Gold Coin), Not Being Legal Tender",export,2019,NA
Whole year,"97 Gold, Nonmonetary (Excluding Gold Ores And Concentrates)",import,2019,566036
Whole year,"97 Gold, Nonmonetary (Excluding Gold Ores And Concentrates)",export,2019,NA
